plant.sp,bird.sp,source,foraging.behaviour,fruitstime,gape.width,frdiam,frmass
Miconia_ligustroides,Pitangus_sulphuratus,Allenspach_et_al._(2012),gulper,11.78,16.35,5.715,0.105
Schinus_terebinthifolius,Tersina_viridis,de_Jesus_e_Monteiro-Filho_(2007),masher,36.67,15.2,5.1,NA
Euterpe_edulis,Trogon_viridis,C?rtes_(2003),gulper,10,23.5,13.3575,1.4475
Euterpe_edulis,Turdus_rufiventris,Castro_(2003),gulper,4,14.50625,13.3575,1.4475
Copaifera_langsdorffii,Turdus_amaurochalinus,Motta-Jr_e_Lombardi_(1990),gulper,2.8,12.48,9,0.68
Pera_glabrata,Leptotila_rufaxilla,Gondim_(2002),gulper,4,8.642857143,3.7075,0.0255
Euterpe_edulis,Turdus_flavipes,Castro_(2003),gulper,30,13.21818182,13.3575,1.4475
Myrsine_coriacea,Turdus_rufiventris,Blendinger,gulper,2.8,14.50625,3.262,0.025558333
Euterpe_edulis,Trogon_viridis,Castro_(2003),gulper,2.775,23.5,13.3575,1.4475
Euterpe_edulis,Turdus_albicollis,Castro_(2003),gulper,2.5,12.51891892,13.3575,1.4475
Myrsine_coriacea,Turdus_rufiventris,de_Jesus_e_Monteiro-Filho_(2007),gulper,24.864,14.50625,3.262,0.025558333
Myrsine_coriacea,Colaptes_melanochloros,de_Jesus_e_Monteiro-Filho_(2007),gulper,23.17,12.4,3.262,0.025558333
Euterpe_edulis,Carpornis_cucullata,Castro_(2003),gulper,21.501,16.3,13.3575,1.4475
Myrsine_coriacea,Dryocopus_lineatus,Pascotto_(2007),gulper,20,17.62,3.262,0.025558333
Parthenocissus_quinquefolia,Quiscalus_quiscula,Malmborg_and_Willson,masher,18.75,NA,5.6,NA
Euterpe_edulis,Turdus_amaurochalinus,Castro_(2003),gulper,18.75,12.48,13.3575,1.4475
Euterpe_edulis,Cyanocorax_caeruleus,Castro_(2003),gulper,18.5,18.3,13.3575,1.4475
Euterpe_edulis,Ramphastos_dicolorus,Castro_(2003),gulper,17.267,30,13.3575,1.4475
Euterpe_edulis,Turdus_flavipes,Castro_(2003),gulper,18.5,13.21818182,13.3575,1.4475
Myrsine_coriacea,Elaenia_obscura,Blendinger,gulper,18.46,11.8125,3.262,0.025558333
Myrsine_coriacea,Piculus_aurulentus,de_Jesus_e_Monteiro-Filho_(2007),gulper,17.26744186,NA,3.262,0.025558333
Myrsine_coriacea,Mimus_saturninus,Pascotto_(2007),gulper,16.93989071,12.15,3.262,0.025558333
Amomyrtella_guilii,Ramphastos_toco,Blendinger,gulper,16.67,33.916,10.6,NA
Myrsine_coriacea,Turdus_rufiventris,Pascotto_(2007),gulper,15.65656566,14.50625,3.262,0.025558333
Euterpe_edulis,Trogon_viridis,Castro_(2003),gulper,15.625,23.5,13.3575,1.4475
Miconia_theaezans,Turdus_leucomelas,Am?ncio_&_Melo_(2008),gulper,14.8738016,14.1125,NA,NA
Myrsine_coriacea,Turdus_leucomelas,de_Jesus_e_Monteiro-Filho_(2007),gulper,14.82758621,14.1125,3.262,0.025558333
Myrsine_coriacea,Turdus_amaurochalinus,Pascotto_(2007),gulper,14.65968586,12.48,3.262,0.025558333
Myrsine_coriacea,Turdus_leucomelas,Pascotto_(2007),gulper,14.35897436,14.1125,3.262,0.025558333
Parthenocissus_quinquefolia,Sturnus_vulgaris,Malmborg_and_Willson,gulper,14,14,5.6,NA
Myrsine_coriacea,Colaptes_campestris,Pascotto_(2007),gulper,13.84976526,18,3.262,0.025558333
Myrsine_laetevirens,Turdus_nigriceps,Blendinger,gulper,13.76,13.5,5.6,0.09
Parthenocissus_quinquefolia,Colaptes_auratus,Malmborg_and_Willson,gulper,13.3,11.2,5.6,NA
Myrsine_coriacea,Pitangus_sulphuratus,Pascotto_(2007),gulper,13.10344828,16.35,3.262,0.025558333
Miconia_chamissois,Colaptes_melanochloros,Am?ncio_&_Melo_(2008),gulper,12.75,12.4,5.4,0.1
Miconia_theaezans,Icterus_cayanensis,Am?ncio_&_Melo_(2008),gulper,12.63382283,6.954,NA,NA
Miconia_theaezans,Antilophia_galeata,Am?ncio_&_Melo_(2008),gulper,12.61481652,7.3,NA,NA
Eugenia_uniflora,Ramphastos_dicolorus,Colussi_e_Prestes_(2011),gulper,12.5,30,18.95,0.76
Miconia_chamissois,Turdus_amaurochalinus,Am?ncio_&_Melo_(2008),gulper,12.5,12.48,5.4,0.1
Myrsine_coriacea,Basileuterus_culicivorus,de_Jesus_e_Monteiro-Filho_(2007),gulper,12.5,6.44,3.262,0.025558333
Parthenocissus_quinquefolia,Turdus_migratorius,Malmborg_and_Willson,gulper,12.4,13,5.6,NA
Vitis_vulpina,Turdus_migratorius,Malmborg_and_Willson,gulper,12.3,13,9.8,NA
Miconia_ligustroides,Turdus_leucomelas,Allenspach_et_al._(2012),gulper,12.18421053,14.1125,5.715,0.105
Miconia_theaezans,Dacnis_cayana,Am?ncio_&_Melo_(2008),masher,12.17207547,8.03,NA,NA
Miconia_theaezans,Elaenia_flavogaster,Am?ncio_&_Melo_(2008),gulper,12.00450028,10.7,NA,NA
Euterpe_edulis,Ramphastos_vitellinus,Castro_(2003),gulper,12,29.7,13.3575,1.4475
Myrsine_coriacea,Colaptes_melanochloros,Pascotto_(2007),gulper,11.92982456,12.4,3.262,0.025558333
Parthenocissus_quinquefolia,Catharus_ustulatus,Malmborg_and_Willson,gulper,11.7,11.1,5.6,NA
Smilax_hispida,Catharus_minimus,Malmborg_and_Willson,gulper,11.6,10.3,8.3,NA
Vitis_vulpina,Sturnus_vulgaris,Malmborg_and_Willson,gulper,11.6,14,9.8,NA
Miconia_theaezans,Turdus_amaurochalinus,Am?ncio_&_Melo_(2008),gulper,11.49433184,12.48,NA,NA
Miconia_ligustroides,Cyanocorax_chrysops,Allenspach_et_al._(2012),gulper,11.46875,19.5,5.715,0.105
Euterpe_edulis,Ramphastos_vitellinus,Castro_(2003),gulper,11.42553191,29.7,13.3575,1.4475
Ilex_paraguariensis,Saltator_similis,Colussi_e_Prestes_(2011),masher,11.20689655,12.05,6.807,0.211
Miconia_chamissois,Turdus_rufiventris,Am?ncio_&_Melo_(2008),gulper,11.17241379,14.50625,5.4,0.1
Euterpe_edulis,Penelope_obscura,Castro_(2003),gulper,10.98901099,23,13.3575,1.4475
Schinus_terebinthifolius,Turdus_amaurochalinus,de_Jesus_e_Monteiro-Filho_(2007),gulper,10.95764273,12.48,5.1,NA
Miconia_theaezans,Turdus_rufiventris,Am?ncio_&_Melo_(2008),gulper,10.95,14.50625,NA,NA
Miconia_ligustroides,Trichothraupis_melanops,Allenspach_et_al._(2012),masher,10.43478261,9.94,5.715,0.105
Schefflera_morototoni,Ramphastos_toco,Purifica??o_et_al._(2015),gulper,10.37104072,33.916,9.2,0.6
Miconia_theaezans,Pitangus_sulphuratus,Am?ncio_&_Melo_(2008),gulper,10.23264436,16.35,NA,NA
Phoradendron_tucumanense,Euphonia_chlorotica,Di_Pauli,masher,10.21,7.07,6.3,0.12
Miconia_albicans,Mimus_saturninus,Allenspach_e_Dias_(2012),gulper,10.19811321,12.15,7.62,0.195
Phoradendron_ensifolium,Chlorospingus_ophthalmicus,Di_Pauli,masher,10.19,9,6.3,NA
Croposma_quadrifida,Platycercus_elegans,French_et_al.,masher,10,NA,NA,NA
Euterpe_edulis,Turdus_albicollis,Castro_(2003),gulper,10,12.51891892,13.3575,1.4475
Myrsine_coriacea,Turdus_leucomelas,Francisco_e_Galetti_(2001),gulper,10,14.1125,3.262,0.025558333
Ocotea_corymbosa,Myiodynastes_maculatus,Gondim_(2002),gulper,10,15.92,5.7,0.18
Vitis_vulpina,Colaptes_auratus,Malmborg_and_Willson,gulper,10,11.2,9.8,NA
Xylopia_sericea,Thraupis_palmarum,Correia_(1997),masher,10,12,7.4,NA
Myrsine_coriacea,Cyanocorax_chrysops,de_Jesus_e_Monteiro-Filho_(2007),gulper,9.978873239,19.5,3.262,0.025558333
Schefflera_morototoni,Patagioenas_speciosa,Purifica??o_et_al._(2015),gulper,9.907990315,NA,9.2,0.6
Croposma_quadrifida,Zosterops_lateralis,French_et_al.,masher,9.9,NA,NA,NA
Myrsine_coriacea,Zonotrichia_capensis,de_Jesus_e_Monteiro-Filho_(2007),masher,9.787401575,9,3.262,0.025558333
Miconia_theaezans,Colaptes_melanochloros,Am?ncio_&_Melo_(2008),gulper,9.771428571,12.4,NA,NA
Miconia_theaezans,Thraupis_sayaca,Am?ncio_&_Melo_(2008),masher,9.674349757,12,NA,NA
Myrsine_coriacea,Tyrannus_melancholicus,Pascotto_(2007),gulper,9.615384615,14.63333333,3.262,0.025558333
Miconia_theaezans,Tangara_cayana,Am?ncio_&_Melo_(2008),masher,9.506666667,8.65,NA,NA
Miconia_albicans,Tangara_cayana,Allenspach_e_Dias_(2012),masher,9.487804878,8.65,7.62,0.195
Schinus_terebinthifolius,Mimus_saturninus,de_Jesus_e_Monteiro-Filho_(2007),gulper,9.418699187,12.15,5.1,NA
Myrsine_coriacea,Celeus_flavescens,Correia_(1997),gulper,9.361702128,15.75,3.262,0.025558333
Myrsine_coriacea,Tangara_desmaresti,de_Jesus_e_Monteiro-Filho_(2007),masher,9.302325581,7.6,3.262,0.025558333
Miconia_theaezans,Tersina_viridis,Am?ncio_&_Melo_(2008),masher,9.23510383,15.2,NA,NA
Pera_glabrata,Piranga_flava,Francisco_et_al._(2007),masher,9.202453988,11.7,3.7075,0.0255
Schefflera_morototoni,Pipile_cujubi,Purifica??o_et_al._(2015),gulper,9.162287481,NA,9.2,0.6
Cupania_oblongifolia,Turdus_amaurochalinus,Correia_(1997),gulper,9.090909091,12.48,11,1.4
Euterpe_edulis,Tachyphonus_coronatus,Castro_(2003),masher,9.090909091,9.77,13.3575,1.4475
Myrsine_laetevirens,Elaenia_obscura,Blendinger,gulper,9.09,11.8125,5.6,0.09
Allophylus_edulis,Turdus_rufiventris,Blendinger,gulper,9.05,14.50625,9.533,0.455
Miconia_theaezans,Coereba_flaveola,Am?ncio_&_Melo_(2008),masher,9,5.922222222,NA,NA
Myrsine_coriacea,Chlorospingus_ophthalmicus,Blendinger,masher,9,9,3.262,0.025558333
Ilex_paraguariensis,Tyrannus_melancholicus,Colussi_e_Prestes_(2011),gulper,8.888888889,14.63333333,6.807,0.211
Myrsine_coriacea,Tersina_viridis,de_Jesus_e_Monteiro-Filho_(2007),masher,8.846153846,15.2,3.262,0.025558333
Miconia_theaezans,Thraupis_palmarum,Am?ncio_&_Melo_(2008),masher,8.72372093,12,NA,NA
Miconia_albicans,Saltatricula_atricollis,Allenspach_e_Dias_(2012),masher,8.641975309,NA,7.62,0.195
Myrsine_coriacea,Chiroxiphia_caudata,de_Jesus_e_Monteiro-Filho_(2007),gulper,8.630952381,11.08787879,3.262,0.025558333
Viscum_album,Turdus_philomelos,Mellado_and_Zamora,gulper,8.61,13.3,7.5,NA
Viburnum_seemenii,Turdus_rufiventris,Blendinger,gulper,8.57,14.50625,NA,NA
Schinus_terebinthifolius,Pyrrhura_frontalis,de_Jesus_e_Monteiro-Filho_(2007),masher,8.540103866,13.5,5.1,NA
Myrsine_coriacea,Camptostoma_obsoletum,de_Jesus_e_Monteiro-Filho_(2007),gulper,8.510638298,7.08125,3.262,0.025558333
Miconia_ligustroides,Mimus_saturninus,Allenspach_et_al._(2012),gulper,8.495192308,12.15,5.715,0.105
Euterpe_edulis,Ramphastos_vitellinus,C?rtes_(2003),gulper,8.46031746,29.7,13.3575,1.4475
Viscum_album,Turdus_pilaris,Mellado_and_Zamora,gulper,8.38,NA,7.5,NA
Pera_glabrata,Colaptes_melanochloros,Francisco_et_al._(2007),gulper,8.18452381,12.4,3.7075,0.0255
Phoradendron_tucumanense,Chlorospingus_ophthalmicus,Di_Pauli,masher,8.16,9,6.3,0.12
Viscum_album,Turdus_torquatus,Mellado_and_Zamora,gulper,8.15,NA,7.5,NA
